Star Rating,Rating Text,Date Added,Review Title
5.0 out of 5 stars,"
  Good pencils for a low price. The erasers work well and each pencil comes with a plastic cover for the eraser... to keep it clean, I presume.These make me dread doing schoolwork a little less, and they're great for drawing.
","Reviewed in the United States on September 9, 2019",Nice!
5.0 out of 5 stars,"
  Amazing
","Reviewed in the United States on November 22, 2017",Excellent
4.8 out of 5 stars,"
  pretty easy to use, nice hold and flow. Recommended.
","Reviewed in the United States on December 6, 2019","Nice pencil to own, good for school and everyday use"
5.0 out of 5 stars,"
  I loved the product but the package came destroyed with 3 out of the 4 pencils broken.
","Reviewed in the United States on June 2, 2017",Package broken but love the product
2.0 out of 5 stars,"
  Good pencils
","Reviewed in the United States on November 30, 2019",Good pencils
4.0 out of 5 stars,"
  No complaints. Good product
","Reviewed in the United States on February 28, 2020",Quality purchase
4.0 out of 5 stars,"
  Love them","Reviewed in the United States on December 12, 2019",Great quality
5.0 out of 5 stars,"Perfect
","Reviewed in the United States on November 27, 2019",🙂 I order them here because they’re super low prices compared to stores
5.0 out of 5 stars,"
  My son loves these. They’re high quality, not some knock off pencils. 🙂 I order them here because they’re super low prices compared to stores.
","Reviewed in the United States on April 19, 2020",Good quality
5.0 out of 5 stars,"
  I bought these for my 9 year old. She loves them and uses them for her homework.
","Reviewed in the United States on May 24, 2018",Very smooth
5.0 out of 5 stars,"
  These mechanical pencils are great.  Smooth writing and don't break easily.  My high schoolers love them.
","Reviewed in the United States on November 20, 2019",Good Budget Pencils
5.0 out of 5 stars,"
  Good, but not great pencils. Included lead is a little weak. Would recommend for use less than one year.
","Reviewed in the United States on September 24, 2018",good
4.8 out of 5 stars,"
  it either works, in which case, 5 stars, or doesn't.","Reviewed in the United States on December 6, 2019",It's a mechanical pencil
5.0 out of 5 stars,"Well, they work.","Reviewed in the United States on June 2, 2017",Good
2.0 out of 5 stars,"So, 5 stars
","Reviewed in the United States on October 28, 2018",works fine
5.0 out of 5 stars,"
  Good product
","Reviewed in the United States on November 11, 2019","Yup, they're pencils."
4.0 out of 5 stars,"
  Fine lead
","Reviewed in the United States on October 10, 2019",My son loves these.
5.0 out of 5 stars,"
  Decent pencils at a better price than from a physical store.
","Reviewed in the United States on January 31, 2018",the lead
5.0 out of 5 stars,"
  my son uses these for school  and loves them.
","Reviewed in the United States on April 6, 2019",Great to use
5.0 out of 5 stars,"
  it's not good, the handwriting with this pencil is awful! and the grip of this piece is not good.
","Reviewed in the United States on January 26, 2020",Pencils
1.0 out of 5 stars,"
  Great price and work as intended.  I use my for school and d&d
","Reviewed in the United States on January 29, 2020",Nice
5.0 out of 5 stars,"
  They work like they should.
","Reviewed in the United States on November 12, 2019","Bic mechanical pencils are my favorite, and these come with some replacement erasers!"
4.8 out of 5 stars,"
  Smooth, Dark Lead and Quality Erasers
","Reviewed in the United States on December 6, 2019",Good Price and a Quality Product
5.0 out of 5 stars,"
  My daughters love these pencils! They enjoy having the grip attached.
","Reviewed in the United States on June 2, 2017",Daughters favorite
2.0 out of 5 stars,"
  Great pencils. I've used other mechanical pencils and none of them have come close to how good these are.
","Reviewed in the United States on September 10, 2019",Will buy again
5.0 out of 5 stars,"
  My kids request these mechanical pencils every year.  They like the grips. I never have a problem finding BIC replacement lead and erasers.
","Reviewed in the United States on October 26, 2018",Love the easy to hold grips
5.0 out of 5 stars,"
  They are not great. I should have spent a bit more for the premium models
","Reviewed in the United States on October 1, 2018",You get what you paid for
5.0 out of 5 stars,"
  Good
","Reviewed in the United States on December 8, 2018",Good
5.0 out of 5 stars,"
  Work great but the eraser tips don’t seem to work as well as others I’ve had.
","Reviewed in the United States on September 10, 2018",These do the job
3.0 out of 5 stars,"
  Makes homework a breeze. Erases easily and I can read my 10 yo’s handwriting easily! A miracle!
","Reviewed in the United States on July 27, 2019",Buy these for super smooth homework time.
5.0 out of 5 stars,"
  For some reason these are my son's favorite mechanical pencils. They are a must have for him. I think he likes the thickness of them; easy to hold? Who knows. He insists in these and I buy them at Amazon because I can't find them elsewhere!
","Reviewed in the United States on August 16, 2018",My son's favotite pencils
4.0 out of 5 stars,"
  nice package with extra lead :)
","Reviewed in the United States on December 21, 2018",Nice pack for the price :)
4.8 out of 5 stars,"
  Na
","Reviewed in the United States on December 6, 2019",Na
5.0 out of 5 stars,"
  Love these. I use them for college.
","Reviewed in the United States on June 2, 2017",The perfect pencil
2.0 out of 5 stars,"
  High comfort good quality n value
","Reviewed in the United States on January 12, 2020",Comfortable
5.0 out of 5 stars,"
  I LIKE THE SHAPE THE COLORS AND IT WAS EASY TO HOLD AND THE LEAD DID NOT BREAK AS EASILY AS OTHER  & THE PRICE WAS RIGHT
","Reviewed in the United States on February 5, 2019",IT'S A GOOD PRODUCT!!!
5.0 out of 5 stars,"
  I really like these better than others i have used. Very comfortable in the hand.
","Reviewed in the United States on June 21, 2019",Very nice
5.0 out of 5 stars,"
  They are typical pencils. Lol. Work fine.
","Reviewed in the United States on June 4, 2020",Good quality
4.0 out of 5 stars,"
  I bought these for work and use them every day.  I have not had any issues with them dispensing lead or with loose eraser ends like I had with cheaper mechanical pencils. The finger pad is a bit hard but still comfortable.
","Reviewed in the United States on March 10, 2018",I have not had any issues with them dispensing lead or with loose eraser ends like I had with cheaper mechanical pencils
5.0 out of 5 stars,"
  Very good pencils. The only problem I have with them though is that the color choices are very girly. The old Velocity pencils were much more gender neutral. That is not enough to warrant a star being taken off though. Great mechanical pencils that last.
","Reviewed in the United States on September 12, 2018",Great mechanical pencils that last.
5.0 out of 5 stars,"
  He loves them!!!
","Reviewed in the United States on May 5, 2015",Gift for my brother
5.0 out of 5 stars,"
  Comfy
","Reviewed in the United States on October 11, 2014",Good
4.8 out of 5 stars,"
  My kid will only use these
","Reviewed in the United States on December 6, 2019","fast shipment,great price"
5.0 out of 5 stars,"
  Very well designed mechanical pencil with retractable metal tip
","Reviewed in the United States on June 2, 2017",Five Stars
2.0 out of 5 stars,"
  These came as expected. My son loves these for school.
","Reviewed in the United States on October 17, 2018",Five Stars
5.0 out of 5 stars,"
  love that these come with extra led and erasers!
","Reviewed in the United States on September 3, 2018",Five Stars
5.0 out of 5 stars,"
  thanks
","Reviewed in the United States on September 4, 2018",Perfect
5.0 out of 5 stars,"
  Work great and cute colors
","Reviewed in the United States on June 8, 2018",Mechanical Pencils
5.0 out of 5 stars,"
  Daughter loves these for school
","Reviewed in the United States on February 10, 2020",As described
5.0 out of 5 stars,"
  These mechanical pencils are the best.
","Reviewed in the United States on May 24, 2020",Five Stars
5.0 out of 5 stars,"
  Perfect, and great price!
","Reviewed in the United States on September 23, 2018","Just as expected, great price!"
4.0 out of 5 stars,"
  Very comfortable to use. Been using these for the last 3 years in undergrad school and plan to continue using them well into grad school.
","Reviewed in the United States on June 24, 2018",Love these pencils!
4.8 out of 5 stars,"
  I like the comfort of writing with this pencil.
","Reviewed in the United States on December 6, 2019",Really like these mechanical pencils
5.0 out of 5 stars,"
  As described.
","Reviewed in the United States on June 2, 2017",Good buy!
2.0 out of 5 stars,"
  Great vivid colors.  One of my daughter's  favorite pencils
","Reviewed in the United States on October 29, 2018",Five Stars
5.0 out of 5 stars,"
  It’s just pencil.
","Reviewed in the United States on September 20, 2018",Good
5.0 out of 5 stars,"
  i like these so much
","Reviewed in the United States on March 5, 2018",i recommend
5.0 out of 5 stars,"
  Okay quality, the leads break easily.
","Reviewed in the United States on November 17, 2019",Okay for the price
5.0 out of 5 stars,"
  I love these pencils they help me write better. They also help my 12 year old write better as well.
","Reviewed in the United States on April 9, 2020",Handwriting help
5.0 out of 5 stars,"
  Good quality product in pretty colors.  I'm pleased.
","Reviewed in the United States on March 31, 2018",Quality and Color
3.0 out of 5 stars,"
  very smooth!!! lead is strong!!! last a long time!
","Reviewed in the United States on December 28, 2019",Five Stars
5.0 out of 5 stars,"
  Great little lead pencils at a great price. they work great and feel great even when writing alot. i use them everyday and love them
","Reviewed in the United States on January 2, 2018",great lead pencil at a great price
4.8 out of 5 stars,"
  Comfortable to write with
","Reviewed in the United States on December 6, 2019",Comfortable
5.0 out of 5 stars,"
  Very comfortable and works well. Perfect for sketching and shading.
","Reviewed in the United States on June 2, 2017",Good for drawing and writing.
2.0 out of 5 stars,"
  Vast improvement over cheaper competition.
","Reviewed in the United States on November 30, 2019",Five Stars
5.0 out of 5 stars,"
  So far so good!
","Reviewed in the United States on January 19, 2020",Five Stars
5.0 out of 5 stars,"
  I like these pencils, they write well and feel good in my hand! The only problem that drives me crazy is using the eraser makes tons of lead come out but that is to be expected. Colors are bright and fun!
","Reviewed in the United States on February 10, 2018",Nice pencils!
5.0 out of 5 stars,"
  works great
","Reviewed in the United States on July 3, 2018",Five Stars
5.0 out of 5 stars,"
  Great deal as a add-on item.
","Reviewed in the United States on August 5, 2017",Five Stars
4.0 out of 5 stars,"
  Love these pencils!
","Reviewed in the United States on June 6, 2018",Five Stars
5.0 out of 5 stars,"
  Best mechanical pencil ever.
","Reviewed in the United States on July 21, 2018",Five Stars
5.0 out of 5 stars,"
  Exactly as described.
","Reviewed in the United States on May 14, 2018",Five Stars
4.8 out of 5 stars,"
  I LOVE the refillable erasers and led! Super nice quality and feel to them.
","Reviewed in the United States on December 6, 2019","Refillable erasers, led, and cheap price? Perfect mechanical pencils!"
5.0 out of 5 stars,"
  good price
","Reviewed in the United States on June 2, 2017",Five Stars
2.0 out of 5 stars,"
  I like the hand grip. But I could go to target and get a 20 pack for this price.
","Reviewed in the United States on November 8, 2019",Nice hand grip.
5.0 out of 5 stars,"
  Good mechanical pencil for the price!
","Reviewed in the United States on March 29, 2018",Pretty good
5.0 out of 5 stars,"
  love bic
","Reviewed in the United States on May 8, 2020",Five Stars
4.0 out of 5 stars,"
  I've never really had a need for mechanical pencils until going back to college, but wow these are amazing. They have the barrel feel of a pen with really good pigmentation payout for the lead. I've also found the lead doesn't really flake while using it and the erasers are pretty good at taking care of business without the extra bits that annoy me.","Reviewed in the United States on October 14, 2017",Great Pencils!
4.0 out of 5 stars,"The lead is smooth writing with a pen like tip from these guys. No breakage from what I can tell and I really like the colors. The only thing I wish they had was a clear barrel to see how much lead is left. The included extra erasers and lead are a bonus! For the price on Amazon, they have the big box stores beat and I love that Prime literally gets me all the stuff I need tomorrow.
","Reviewed in the United States on March 22, 2018",Great
5.0 out of 5 stars,"
  Great!
","Reviewed in the United States on March 8, 2016",Best pencil for note taking
5.0 out of 5 stars,"
  These are the best pencils for taking notes in class!
","Reviewed in the United States on January 1, 2020",I love school supplies but am pretty particular
5.0 out of 5 stars,"
  As a teacher, I love school supplies but am pretty particular. These are my absolute favorite led pencils for writing in my planner. Smooth writing and sharp.
","Reviewed in the United States on August 29, 2019",Great pencils!
4.8 out of 5 stars,"
  Yay pencils
","Reviewed in the United States on December 6, 2019",Five Stars
5.0 out of 5 stars,"
  The best mechanical pencil!!
","Reviewed in the United States on June 2, 2017",Best Pencil
2.0 out of 5 stars,"
  It is an awesone pencil
","Reviewed in the United States on January 13, 2018",The pencil
5.0 out of 5 stars,"
  work great
","Reviewed in the United States on January 5, 2020",Five Stars
5.0 out of 5 stars,"
  It is one of the best things in the world
","Reviewed in the United States on January 26, 2020",Can I get some for free
3.0 out of 5 stars,"
  Love these pencils. Just wish the kids would quit stealing them from me to use at school.
","Reviewed in the United States on December 12, 2017",Love these!
5.0 out of 5 stars,"
  This version is great. So far I have not encountered any problems with lead breaking. Will continue to buy this version.
","Reviewed in the United States on February 12, 2020",Great pencil
5.0 out of 5 stars,"
  The quality is very good and the price is very cheap
","Reviewed in the United States on February 5, 2019",Good
5.0 out of 5 stars,"
  Hope have more style!
","Reviewed in the United States on July 17, 2018",So so
5.0 out of 5 stars,"
  I love how smoothly they write!! Highly recommend!
","Reviewed in the United States on November 4, 2019",My favorite mechanical pencils ever
4.8 out of 5 stars,"
  Nice writing
","Reviewed in the United States on December 6, 2019",Nice writing
5.0 out of 5 stars,"
  Hermoso ✌️
","Reviewed in the United States on June 2, 2017",Lindos lápices
2.0 out of 5 stars,"
  They do what they're supposed to. The pencil has a slightly wider body than a standard mechanical pencil, providing a comfortable grip. Eraser works beautifully with no smudging. No complaints.
","Reviewed in the United States on May 27, 2020",Nice pencil
5.0 out of 5 stars,"
  Great quality. Some pencils seem flimsy and easy to crack the case. These are strong and built with much thought.
","Reviewed in the United States on April 5, 2020",Great quality. Some pencils seem flimsy and easy to ...
5.0 out of 5 stars,"
  Nice pencils will order again.
","Reviewed in the United States on November 30, 2013",Nice
5.0 out of 5 stars,"
  These are some heavy duty pencils.  They write pretty good also.
","Reviewed in the United States on March 4, 2015",They write pretty good also
5.0 out of 5 stars,"
  Comfortable and easy to use
","Reviewed in the United States on March 18, 2016",Great pencils
4.0 out of 5 stars,"
  lead a bit light. pretty colors and I can leave them everywhere I have puzzle books
","Reviewed in the United States on March 24, 2016",great
5.0 out of 5 stars,"
  I love that these pencils come with refills!
","Reviewed in the United States on December 13, 2019",Refills
5.0 out of 5 stars,"
  great pencils for kids
","Reviewed in the United States on August 14, 2015",great
4.8 out of 5 stars,"
  Just what my granddaughter wanted. Perfect.
","Reviewed in the United States on December 6, 2019",Perfect.
5.0 out of 5 stars,"
  My daughter liked the pencils
","Reviewed in the United States on June 2, 2017",Good pencils
2.0 out of 5 stars,"
  Great pencils!
","Reviewed in the United States on May 27, 2017",Best mechanical pencils
5.0 out of 5 stars,"
  great
","Reviewed in the United States on December 25, 2019",Five Stars
4.0 out of 5 stars,"
  Received as stated
","Reviewed in the United States on December 26, 2016",Five Stars
5.0 out of 5 stars,"
  They feel great to hold and write great!
","Reviewed in the United States on January 30, 2017",Great pencils
5.0 out of 5 stars,"
  good quality for the price
","Reviewed in the United States on October 29, 2016",good quality
5.0 out of 5 stars,"
  Good product for the low price.
","Reviewed in the United States on October 5, 2017",Five Stars
5.0 out of 5 stars,"
  Great grips!
","Reviewed in the United States on January 17, 2020",Five Stars
5.0 out of 5 stars,"
  They write smoothly and I like the interchangeable erasers.
","Reviewed in the United States on June 10, 2016",Four Stars
4.8 out of 5 stars,"
  Love these pencils! Easy to hold and writes smoothly without dragging on the paper. I use them for sketching and the eraser is awesome when needed. I of course love the fun colors :)
","Reviewed in the United States on December 6, 2019",Awesome pencils!
5.0 out of 5 stars,"
  Love these pencils! Thanks!
","Reviewed in the United States on June 2, 2017",Five Stars
2.0 out of 5 stars,"
  I love them! I like to collect mechanical pencils and these are my prized possessions! My mum got them for me.
","Reviewed in the United States on November 27, 2015",I love them! I like to collect mechanical pencils and ...
5.0 out of 5 stars,"
  I liked everything about these pencils
","Reviewed in the United States on June 30, 2017",Love it
5.0 out of 5 stars,"
  package was opened no refills or erasers in the pack. was shipped this way.
","Reviewed in the United States on October 26, 2015",Three Stars
5.0 out of 5 stars,"
  hard to go wrong with a Bic
","Reviewed in the United States on January 17, 2020",Hard to go wrong with a BIC
5.0 out of 5 stars,"
  Great product!
","Reviewed in the United States on September 23, 2015",Five Stars
3.0 out of 5 stars,"
  Love my pencils
","Reviewed in the United States on December 28, 2015",Four Stars
